id_igralca,id_filma,vloga
0000071,0047030,I
0000742,0047030,I
0604702,0047030,I
0236866,0047030,I
0864869,0047030,I
0533692,0047030,I
0750079,0047030,I
0045784,0047030,I
0068257,0047030,I
0516883,0047030,I
0912911,0047030,I
0486387,0047030,I
0001918,0047030,I
0689359,0047030,I
0472758,0047030,I
1213549,0047030,I
7349269,0047030,I
0081708,0047030,I
0542649,0047030,R
0000018,0046672,I
0000051,0046672,I
0510134,0046672,I
0000048,0046672,I
0929057,0046672,I
0208125,0046672,I
0949355,0046672,I
0449858,0046672,I
0375887,0046672,I
0178411,0046672,I
0045839,0046672,I
0059177,0046672,I
0087536,0046672,I
0104585,0046672,I
0115766,0046672,I
0196876,0046672,I
9110894,0046672,I
0307325,0046672,I
0281507,0046672,R
0001078,0046874,I
0000038,0046874,I
0000034,0046874,I
0743218,0046874,I
0721728,0046874,I
0284812,0046874,I
0753103,0046874,I
0448836,0046874,I
0721798,0046874,I
0017444,0046874,I
0117058,0046874,I
0001995,0046874,I
0164202,0046874,I
0198980,0046874,I
2665210,0046874,I
0206141,0046874,I
0234938,0046874,I
0242940,0046874,I
0780833,0046874,R
0382548,0047642,I
0019282,0047642,R
0180263,0048157,I
0445656,0048157,I
0860607,0048157,I
0252032,0048157,I
0334208,0048157,I
0374011,0048157,I
0375818,0048157,I
0825473,0048157,I
0837955,0048157,I
0358071,0048157,R
0000007,0046754,I
0001257,0046754,I
0639529,0046754,I
0330961,0046754,I
0181305,0046754,I
0106387,0046754,I
0783288,0046754,I
0828838,0046754,I
0409421,0046754,I
0017628,0046754,I
0176328,0046754,I
0821543,0046754,I
0953088,0046754,I
0156989,0046754,I
0292077,0046754,I
0663550,0046754,I
0313899,0046754,I
0213831,0046754,I
0000581,0046754,R
0000075,0046808,I
0001822,0046808,I
0676492,0046808,I
0001847,0046808,I
0432827,0046808,I
0639385,0046808,I
0291829,0046808,I
0391096,0046808,I
0550855,0046808,I
0717203,0046808,I
0643211,0046808,I
0123699,0046808,I
0012113,0046808,I
0018685,0046808,I
0068216,0046808,I
0101394,0046808,I
0103362,0046808,I
0106737,0046808,I
0229424,0046808,R
0000034,0046806,I
0000038,0046806,I
0545298,0046806,I
0001682,0046806,I
0833865,0046806,I
0569902,0046806,I
0043396,0046806,I
0391096,0046806,I
0788353,0046806,I
0099071,0046806,I
0017685,0046806,I
0001904,0046806,I
0023007,0046806,I
0038620,0046806,I
0038799,0046806,I
0066260,0046806,I
0102318,0046806,I
0130344,0046806,I
0733476,0046806,R
0000078,0047086,I
0872456,0047086,I
0206478,0047086,I
