id,ime
0086469,Amanda Blake
0314778,Alex Gerry
0241589,Ralph Dumke
0333807,Wilton Graff
0062736,George Baxter
0096470,Nick Borgani
1242632,Gene Conklin
0188149,Paul Cristo
0204639,George Davis
1519516,Jeannine Ducasse
0283170,Bess Flowers
0337138,Richard Grayson
0349798,Claude Guy
0910199,Charles Walters
0000051,James Mason
0000024,John Gielgud
0639529,Edmond O&#x27;Brien
0002093,Greer Garson
0534317,George Macready
0665327,Michael Pate
0354989,Richard Hale
0183184,William Cottrell
0706978,Jack Raine
0681055,William Phipps
0000013,Doris Day
0572885,Allyn Ann McLerie
0137023,Philip Carey
0367670,Paul Harvey
0424793,Chubby Johnson
0730344,Gale Robbins
0011535,Victor Adamson
0023007,Leon Alton
0028166,Monya Andre
0033815,Beulah Archuletta
0043035,Emile Avery
0068216,George Bell
0071986,Ray Bennett
0088285,Billy Bletcher
0124877,David Butler
0367928,Kazuo Hasegawa
0945299,Isao Yamagata
0475872,Yatarô Kurokawa
0051812,Kôtarô Bandô
0853392,Jun Tazaki
0784119,Koreya Senda
0793674,Masao Shimizu
0410965,Tatsuya Ishiguro
0879971,Kenjirô Uemura
0793643,Gen Shimizu
0032894,Michiko Araki
0590918,Yoshie Minami
0596097,Kikue Môri
0434595,Ryôsuke Kagawa
0032900,Shinobu Araki
0768029,Kunitarô Sawamura
0467043,Kanji Koshiba
0455938,Teinosuke Kinugasa
0925804,Jon Whiteley
0935844,Vincent Winter
0180920,Adrienne Corri
0534280,Duncan Macrae
0212470,Francis De Wolff
0840109,James Sutherland
0706022,John Rae
0829450,Jack Stewart
0164050,Jameson Clark
0940175,Eric Woodburn
0066472,Christopher Beeny
0174987,Howard Connell
2049715,Danny
1738171,Anthony Michael Heathcoat
0567018,Alex McCrindle
0494885,Philip Leacock
0058001,Gene Barry
0732378,Ann Robinson
0871876,Les Tremayne
0180452,Robert Cornthwaite
0552683,Lewis Martin
0828864,Houseley Stevenson Jr.
0723731,Vernon Rich
0104770,Henry Brandon
0472816,Jack Kruschen
0362567,Cedric Hardwicke
0011262,Peter Adams
0017458,Eric Alden
0020582,Hugh Allen
0055464,Ruth Barnell
0005738,Byron Haskin
0916067,Clifton Webb
0001766,Barbara Stanwyck
0198241,Audrey Dalton
0000731,Brian Aherne
0000865,Richard Basehart
0430870,Allyn Joslyn
0865185,James Todd
0074047,Frances Bergen
0426954,William Johnstone
0013934,Patrick Aherne
0026039,Merry Anders
0087253,Eumenio Blanco
0064416,Eugene Borden
0624535,Jean Negulesco
0000009,Richard Burton
0001739,Jean Simmons
0001514,Victor Mature
0719692,Michael Rennie
0732717,Jay Robinson
0415591,Dean Jagger
0857147,Torin Thatcher
0095524,Richard Boone
0820615,Betta St. John
0607504,Jeff Morrow
0857658,Ernest Thesiger
0039169,Leon Askin
0030516,Michael Ansara
0038066,Jan Arvan
0059177,John Barton
0581062,Ethel Merman
0640307,Donald O&#x27;Connor
0893584,Vera-Ellen
0212461,Billy De Wolfe
0200626,Helmut Dantine
0805790,Walter Slezak
0314065,Steven Geray
0836724,Ludwig Stössel
0803785,Lilia Skala
0227644,Charles Dingle
0663183,Emory Parnell
0019922,Elizabeth Allan
0043554,Hanna Axmann-Rezzori
0067589,Leon Belasco
0073472,Oscar Beregi Sr.
0285319,Don Forbes
0902226,Theodore von Eltz
0000740,Irwin Allen
0002011,Lee J. Cobb
0001768,Rod Steiger
0377416,Pat Henning
0002063,Leif Erickson
0922599,James Westerfield
0301977,Tony Galento
0561157,Tami Mauriello
0357910,John F. Hamilton
0374939,John Heldabrand
0085737,Don Blackman
0800047,Abe Simon
0001693,Eva Marie Saint
0000842,Martin Balsam
0074636,Dan Bergin
0556399,Giulietta Masina
0798570,Aldo Silvani
0746279,Marcella Rovena
0893425,Livia Venturini
0147566,Pietro Ceccarelli
0302853,Giovanna Galli
0320399,Gustavo Giorgi
1856108,Yami Kamadeva
0664811,Mario Passante
0697586,Anna Primula
2024204,Alexandre Trannoy
0402231,Goffredo Unger
0820670,Nazzareno Zamperla
0000019,Federico Fellini
0002369,John Williams
0405054,Martha Hyer
0901143,Joan Vohs
0197950,Marcel Dalio
0384787,Marcel Hillaire
0908063,Nella Walker
0124279,Francis X. Bushman
0013866,David Ahdar
0047450,Raymond Bailey
0070757,Brooks Benedict
0103326,Lovyss Bradley
0645422,Mariko Okada
0586733,Rentarô Mikuni
0648802,Kurôemon Onoe
0944779,Kaoru Yachigusa
0593930,Mitsuko Mito
0594542,Eiko Miyoshi
0386284,Akihiko Hirata
0008354,Kusuo Abe
0654712,Eitarô Ozawa
0849423,Akira Tani
0648543,Seijirô Onda
0559603,Fumindo Matsuo
0959989,Masanobu Ôkubo
0453769,Takuzô Kumagai
0784770,Akira Sera
0875496,Yasuhisa Tsutsumi
0755403,Yutaka Sada
0408348,Hiroshi Inagaki
0007225,Jane Powell
0724143,Jeff Richards
0848560,Russ Tamblyn
0707720,Tommy Rall
0686885,Marc Platt
0560443,Matt Mattox
0195073,Jacques d&#x27;Amboise
0628325,Julie Newmar
0453025,Nancy Kilgas
0139607,Betty Carr
0317208,Virginia Gibson
0498181,Ruta Lee
0230497,Norma Doggett
0677962,Howard Petrie
0059134,Earl Barton
0228099,Dante DiPaolo
0002045,Stanley Donen
0000742,June Allyson
0864869,George Tobias
0533692,Barton MacLane
0068257,James Bell
0516883,Kathleen Lockhart
0912911,Katherine Warren
0486387,Frances Langford
0001918,Louis Armstrong
0689359,Ben Pollack
0472758,Gene Krupa
1213549,The Modernaires
7349269,The Archie Savage Dancers
0081708,Barney Bigard
0542649,Anthony Mann
0510134,Paul Lukas
0000048,Peter Lorre
0949355,Carleton Young
0449858,J.M. Kerrigan
0178411,Ted Cooper
0087536,Oscar Blank
0115766,George Bruggeman
0196876,John Daheim
9110894,Esmeralda
0281507,Richard Fleischer
