id_filma,zanr
0067483,Biography
0067483,Drama
0067483,History
0067483,War
0067217,Dark Comedy
0067217,Medical Drama
0067217,Satire
0067217,Comedy
0067217,Drama
0067217,Mystery
0067197,Documentary
0067197,Drama
0068373,Hand-Drawn Animation
0068373,Holiday Animation
0068373,Holiday Family
0068373,Animation
0068373,Drama
0068373,Family
0068373,Fantasy
0068373,Holiday
0068373,Short
0065894,Documentary
0065894,Short
0065894,War
0067733,Documentary
0067733,Short
0066959,Animation
0066959,Comedy
0066959,Family
0066959,Short
0068646,Epic
0068646,Gangster
0068646,Tragedy
0068646,Crime
0068646,Drama
0068327,Period Drama
0068327,Drama
0068327,Music
0068327,Musical
0068327,Romance
0069113,Disaster
0069113,Survival
0069113,Action
0069113,Adventure
0069113,Drama
0069113,Thriller
0068334,Political Drama
0068334,Satire
0068334,Comedy
0068334,Drama
0068361,Satire
0068361,Comedy
0068361,Drama
0068361,Fantasy
0069467,Period Drama
0069467,Drama
0069404,Globetrotting Adventure
0069404,Adventure
0069404,Comedy
0068326,Coming-of-Age
0068326,Romantic Comedy
0068326,Screwball Comedy
0068326,Comedy
0068326,Drama
0068326,Music
0068326,Romance
0068924,Biography
0068924,Documentary
0069373,Documentary
0069373,Short
0069020,Biography
0069020,Documentary
0069020,Short
0070047,Body Horror
0070047,Psychological Drama
0070047,Psychological Horror
0070047,Supernatural Horror
0070047,Tragedy
0070047,Horror
0070735,Caper
0070735,Comedy
0070735,Crime
0070735,Drama
0070510,Caper
0070510,Road Trip
0070510,Comedy
0070510,Crime
0070510,Drama
0070903,Period Drama
0070903,Tragic Romance
0070903,Drama
0070903,Romance
0071129,Satire
0071129,Comedy
0071129,Drama
0070460,Showbiz Drama
0070460,Comedy
0070460,Drama
0070460,Romance
0070509,Coming-of-Age
0070509,Legal Drama
0070509,Comedy
0070509,Drama
0070640,Drama
0070819,Comedy
0070819,Romance
0069812,Documentary
0069812,Music
0069812,Short
0070071,Animation
0070071,Biography
0070071,Short
0071562,Epic
0071562,Gangster
0071562,Tragedy
0071562,Crime
0071562,Drama
0071315,Conspiracy Thriller
0071315,Hard-boiled Detective
0071315,Psychological Drama
0071315,Psychological Thriller
0071315,Tragedy
0071315,Drama
0071315,Mystery
0071315,Thriller
0072308,Disaster
0072308,Action
0072308,Drama
0072308,Thriller
0071877,Suspense Mystery
0071877,Whodunnit
0071877,Crime
0071877,Drama
0071877,Mystery
0071877,Thriller
0071455,Dark Comedy
0071455,Disaster
0071455,Action
0071455,Drama
0071455,Thriller
0071577,Tragedy
0071577,Drama
0071577,Romance
0071115,Drama
0071115,Romance
0071604,Documentary
0071604,History
0071604,War
0071598,Road Trip
0071598,Adventure
0071598,Comedy
0071598,Drama
0071598,Romance
0071337,Stop Motion Animation
0071337,Animation
0071337,Fantasy
0071337,Short
0070135,Documentary
0070135,Sport
0071943,Comedy
0071943,Short
0070561,Documentary
0070561,Short
0073195,Monster Horror
0073195,Sea Adventure
0073195,Survival
0073195,Adventure
0073195,Drama
0073195,Horror
0073195,Thriller
0073486,Medical Drama
0073486,Psychological Drama
0073486,Drama
0072684,Costume Drama
0072684,Dark Comedy
0072684,Epic
0072684,Period Drama
0072684,Adventure
0072684,Drama
0072684,War
0072890,Dark Comedy
0072890,Heist
0072890,True Crime
0072890,Biography
0072890,Crime
0072890,Drama
0072890,Thriller
0073440,Satire
0073440,Tragedy
0073440,Comedy
0073440,Drama
0073440,Music
0073692,Satire
0073692,Comedy
0073692,Drama
0071411,Docudrama
0071411,Period Drama
0071411,Adventure
0071411,Biography
0071411,Drama
0073113,Tragedy
0073113,Adventure
0073113,Drama
0073113,History
0073113,Thriller
0073766,Sketch Comedy
0073766,Comedy
0169446,News
0169446,Documentary
0073340,Documentary
0073340,Sport
0072939,Drama
0072939,Short
0073068,Computer Animation
0073068,Animation
0073068,Documentary
0073068,Musical
0073068,Short
0071430,Documentary
0071430,Short
0075148,Boxing
0075148,Drama
0075148,Sport
0074958,Dark Comedy
0074958,Workplace Drama
0074958,Drama
0074812,Cyberpunk
0074812,Dystopian Sci-Fi
0074812,Action
0074812,Adventure
0074812,Sci-Fi
0074119,Conspiracy Thriller
0074119,Political Drama
0074119,Political Thriller
0074119,Workplace Drama
0074119,Drama
0074119,History
0074119,Thriller
0075005,Supernatural Horror
0075005,Horror
0075005,Mystery
0074751,Dinosaur Adventure
0074751,Globetrotting Adventure
0074751,Jungle Adventure
0074751,Monster Horror
0074751,Urban Adventure
0074751,Adventure
0074751,Horror
0075265,Showbiz Drama
0075265,Tragic Romance
0075265,Drama
0075265,Music
0075265,Romance
0074235,Biography
0074235,Drama
0074235,Music
0074291,Costume Drama
0074291,Period Drama
0074291,Biography
0074291,Drama
0074291,History
0074291,Romance
0074605,Documentary
0074972,Period Drama
0074972,Satire
0074972,Comedy
0074972,Drama
0074972,War
0072646,Drama
0072646,Short
0074787,Animation
0074787,Short
0074987,Documentary
0074987,Short
0074675,Short
0076759,Action Epic
0076759,Adventure Epic
0076759,Dystopian Sci-Fi
0076759,Epic
0076759,Fantasy Epic
0076759,Quest
0076759,Sci-Fi Epic
0076759,Space Sci-Fi
0076759,Sword &amp; Sorcery
0075860,Alien Invasion
0075860,Sci-Fi Epic
0075860,Drama
0075860,Sci-Fi
0075686,Romantic Comedy
0075686,Comedy
0075686,Romance
0076095,Romantic Comedy
0076095,Comedy
0076095,Drama
0076095,Romance
0076245,Drama
0076319,Comedy
0076319,Musical
0076319,Romance
0076348,Comedy
0076348,Drama
0076941,Drama
0076941,Music
0076941,Romance
0076918,Biography
0076918,Documentary
0075847,Animation
0075847,Comedy
0075847,Family
0075847,Fantasy
0075847,Short
0076173,Documentary
0076173,Short
0076105,Biography
0076105,Documentary
