id,ime
0001874,Franco Zeffirelli
0504492,Mark Lester
0600531,Ron Moody
0908861,Shani Wallis
0715346,Carol Reed
0000164,Anthony Hopkins
0367431,Anthony Harvey
0121826,Paul Burke
0000659,Barbra Streisand
0575552,Kay Medford
0731772,Cliff Robertson
0001982,Sebastian Cabot
0001359,Sterling Holloway
0275835,John Fiedler
0718627,Wolfgang Reitherman
0016776,Jack Albertson
0000640,Martin Sheen
0343260,Ulu Grosbard
4291653,Paul Saltman
0000866,Saul Bass
0448305,Robert F. Kennedy
0000685,Jon Voight
0587249,Sylvia Miles
0000602,Robert Redford
0200981,Kim Darby
0004794,Glen Campbell
0001657,Oliver Reed
0413559,Glenda Jackson
0001692,Ken Russell
0186903,Michael Crawford
0765546,Michael Sarrazin
0001628,Sydney Pollack
0002020,Costa-Gavras
0000443,Goldie Hawn
0757256,Gene Saks
0001749,Maggie Smith
0413561,Gordon Jackson
0827137,Robert Stephens
0623768,Ronald Neame
0000991,Geneviève Bujold
0418986,Charles Jarrott
0001077,Richard Crenna
0418148,David Janssen
0125651,Ruth Buzzi
0048147,Richard Bakalyan
0256223,John Emerson
0748256,Artur Rubinstein
1224076,Eliahu Inbal
1330725,Paul Kletzki
0665964,Gérard Patris
0717025,François Reichenbach
0108348,Leonid Brezhnev
0150196,Neville Chamberlain
0239213,Alexander Dubcek
0294354,Robert M. Fresco
6169903,Carl Rogers
6169902,Richard Farson
15157086,Jerry
0569006,Bill McGaw
1595439,Robert Gilbert
0193267,Bob Curtis
0000661,Donald Sutherland
0001285,Elliott Gould
0000643,Tom Skerritt
0000265,Robert Altman
0001509,Dean Martin
0001715,George C. Scott
0950079,Stephen Young
0532298,Ali MacGraw
0641939,Ryan O&#x27;Neal
0549134,John Marley
0002137,Arthur Hiller
0945522,Sô Yamamura
0297935,Kinji Fukasaku
0557927,Toshio Masuda
0590055,John Mills
0400731,Ken Hughes
0001926,Joan Baez
0369784,Richie Havens
0002032,Roger Daltrey
0905579,Michael Wadleigh
0006168,John Lennon
0005200,Paul McCartney
0365600,George Harrison
