id_filma,id_igralca,vloga
0056085,0000078,I
0056085,0000060,I
0056085,0000406,R
0056085,0368871,R
0056085,0550892,R
0056197,0000078,I
0056197,0752813,I
0056197,0000009,I
0056197,0002175,R
0056197,0554249,R
0056197,0652631,R
0056687,0000012,I
0056687,0001076,I
0056687,0120658,I
0056687,0000736,R
0056262,0696481,I
0056262,0429250,I
0056262,0004983,I
0056262,0196536,R
0056241,0000843,I
0056241,0001157,I
0056241,0430460,I
0056241,0671957,R
0055895,0000493,I
0055895,0001665,I
0055895,0001948,I
0055895,0001175,R
0056541,0000056,I
0056541,0656183,I
0056541,0004309,I
0056541,0112218,R
0055910,0473228,I
0055910,0183671,I
0055910,0333143,I
0055910,0099984,R
0056700,0002131,I
0056700,0001954,I
0056700,0003337,I
0056700,0505610,R
0056700,0657162,R
0055801,0000017,I
0055801,0386944,I
0055801,0832845,R
0056066,2169358,I
0056066,0952659,I
0056066,0296996,I
0056066,0140643,R
0056066,0959916,R
0056075,0318926,I
0056075,0558636,I
0056075,0399524,R
0056937,0000072,I
0056937,0000009,I
0056937,0001322,I
0056937,0000581,R
0056937,0541149,R
0057193,0000075,I
0057193,0000926,I
0057193,0581062,I
0057193,0006452,R
0056801,0000052,I
0056801,0000733,I
0056801,0001012,I
0056801,0000019,R
0057163,0000056,I
0057163,0002048,I
0057163,0623658,I
0057163,0728688,R
0057187,0000493,I
0057187,0000511,I
0057187,0414279,I
0057187,0000697,R
0057590,0001215,I
0057590,0948772,I
0057590,0222627,I
0057590,0724798,R
0057251,0001627,I
0057251,0803785,I
0057251,0542858,I
0057251,0625680,R
0057171,0000047,I
0057171,0000052,I
0057171,0321294,I
0057171,0001120,R
0057634,0000072,I
0057634,0000009,I
0057634,0431139,I
0057634,0002190,R
0056825,0316071,I
0056825,0938231,I
0056825,0438833,I
0056825,0001415,R
0057400,0001276,I
0057400,0424318,I
0057400,0749476,I
0057400,0550892,R
0056965,0000316,I
0056965,0684719,R
0057459,0296560,I
0057459,0448123,I
0057459,0418905,I
0057459,0164999,R
0059613,0547462,I
0059613,1028301,I
0059613,0785682,I
0059613,0001945,R
0056920,1744391,I
0056920,0202405,I
0056920,0001637,I
0056920,0893403,R
0058331,0000267,I
0058331,0001813,I
0058331,0866835,I
0058331,0829038,R
0058150,0000125,I
0058150,0002085,I
0058150,0000303,I
0058150,0357891,R
0058385,0000030,I
0058385,0001322,I
0058385,0391361,I
0058385,0002030,R
0057831,0000063,I
0057831,0000869,I
0057831,0660327,I
0057831,0128050,R
0058404,0000009,I
0058404,0001257,I
0058404,0000039,I
0058404,0001379,R
0058092,0000026,I
0058092,0001989,I
0058092,0002145,I
0058092,0625680,R
0057877,0000009,I
0057877,0000564,I
0057877,0000024,I
0057877,0322706,R
0058672,0580479,I
0058672,0001811,I
0058672,0001703,I
0058672,0202088,R
0057812,0709704,I
0057812,0001174,I
0057812,0640023,I
0057812,0657162,R
0058472,0293989,R
0058472,0695462,R
0058364,17146658,I
0058364,13566243,I
0058364,13566247,I
0058364,0184150,R
0059814,0276341,I
0059814,0352413,R
0059814,0860136,R
0057922,0142829,I
0057922,0836375,R
0059742,0000267,I
0059742,0001626,I
0059742,0662223,I
0059742,0936404,R
0059113,0001725,I
0059113,0001046,I
0059113,0001036,I
0059113,0000180,R
0059800,0000125,I
0059800,0000805,I
0059800,0148041,I
0059800,0950109,R
0063794,0767567,I
0063794,0863146,I
0063794,0094083,I
0063794,0094083,R
0059243,0000348,I
0059243,0000081,I
0059243,0000493,I
0059243,0001175,R
0059017,0000404,I
0059017,0001511,I
0059017,0130286,I
0059017,0799033,R
0059712,0000046,I
0059712,0797531,I
0059712,0001207,I
0059712,0006452,R
0059084,0001046,I
0059084,0001958,I
0059084,0002131,I
0059084,0772259,R
0059573,0001627,I
0059573,0001859,I
0059573,0366946,I
0059573,0337885,R
0059527,0436706,I
0059527,0472166,I
0059527,0958903,I
0059527,0434443,R
0059527,0460033,R
0059674,0000072,I
0059674,0000009,I
0059674,0001693,I
0059674,0591486,R
0059798,0001673,I
0059798,0364455,I
0059798,0000842,I
0059798,0168641,R
0059122,0605923,I
0059122,0005062,R
0059122,0633637,R
0059145,0533831,I
0059145,0786215,I
