id_igralca,id_filma,vloga
0291068,0086879,I
0385701,0086879,I
0001232,0086879,R
0001213,0088275,I
0587548,0088275,I
0472151,0088275,I
0367134,0088275,I
0025066,0088275,I
0254249,0088275,I
0220193,0088275,I
0947524,0088275,I
0470094,0088275,I
0311249,0088275,I
0109047,0088275,I
0113831,0088275,I
0141699,0088275,I
1366892,0088275,I
1050807,0088275,I
2819592,0088275,I
2747278,0088275,I
1367602,0088275,I
0258531,0088275,R
0001832,0087553,I
0628955,0087553,I
0000518,0087553,I
0001696,0087553,I
0005266,0087553,I
0336960,0087553,I
0665473,0087553,I
0297538,0087553,I
0448058,0087553,I
0156827,0087553,I
0682596,0087553,I
0156826,0087553,I
0083456,0087553,I
0803062,0087553,I
0238825,0087553,I
0923840,0087553,I
0377788,0087553,I
0538869,0087553,I
0423646,0087553,R
0000148,0087469,I
0001009,0087469,I
0702841,0087469,I
0700869,0087469,I
0786022,0087469,I
0832104,0087469,I
0152054,0087469,I
0948118,0087469,I
0949521,0087469,I
0160913,0087469,I
0628970,0087469,I
0848883,0087469,I
0000101,0087469,I
0593052,0087469,I
0945194,0087469,I
0620730,0087469,I
0476095,0087469,I
0211605,0087469,I
0000229,0087469,R
0000398,0087921,I
0001080,0087921,I
0000438,0087921,I
0001496,0087921,I
0000518,0087921,I
0000418,0087921,I
0369001,0087921,I
0416521,0087921,I
0809031,0087921,I
0642368,0087921,I
0719037,0087921,I
0048844,0087921,I
0666256,0087921,I
0399981,0087921,I
0924636,0087921,I
0371479,0087921,I
0359393,0087921,I
0104264,0087921,I
0000914,0087921,R
0001114,0087892,I
0051856,0087892,I
0001919,0087892,I
0289038,0087892,I
0000027,0087892,I
0369814,0087892,I
0934014,0087892,I
0671462,0087892,I
0191741,0087892,I
0539562,0087892,I
0006762,0087892,I
0842578,0087892,I
0278615,0087892,I
0786022,0087892,I
0396277,0087892,I
0438930,0087892,I
0471467,0087892,I
0125497,0087892,I
0000180,0087892,R
0681566,0087144,I
0033329,0087144,I
0880521,0087144,I
0001989,0087144,I
0699659,0087144,I
0000767,0087144,I
0646037,0087144,I
0756651,0087144,I
0042104,0087144,I
0584191,0087144,I
0042848,0087144,I
0895598,0087144,I
0926919,0087144,I
0099134,0087144,I
0753666,0087144,I
0335203,0087144,I
0800648,0087144,I
0850990,0087144,I
0218252,0087144,R
0002239,0087957,I
0467664,0087957,I
0206528,0087957,I
0439466,0087957,I
0929934,0087957,I
0072934,0087957,I
0816966,0087957,I
0428379,0087957,I
0403190,0087957,I
0225412,0087957,I
0071624,0087957,I
0839784,0087957,I
0314842,0087957,I
0881478,0087957,I
0498570,0087957,I
0330269,0087957,I
0414838,0087957,I
1591778,0087957,I
0536299,0087957,R
0000154,0088007,I
0000651,0088007,I
0047490,0088007,I
0528236,0088007,I
0001277,0088007,I
0393458,0088007,I
0124100,0088007,I
