id,naslov,ocena,cas,leto,oznaka,opis,cena,zasluzek
0048445,Oklahoma!,7.0,145,1955,G,"In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies.",5000000,16133
0048728,Ujeti tatu,7.4,106,1955,PG,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.,2500000,7117
0048380,Mister Roberts,7.6,123,1955,Approved,"In the waning days of World War II, the cargo officer of a Navy supply ship chafes at its role far from the action in the Pacific&apos;s backwater areas, his frustration rising when its captain denies the crew liberty over petty irrita...",,
0048028,Vzhodno od raja,7.8,118,1955,PG,"Two brothers in 1910s California struggle to maintain the favor of their affectionate but strict, Bible-toting father as an old secret about their long-absent mother comes to light.",,29501
0048356,Marty,7.7,90,1955,Approved,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,343000,
0048491,Picnic,7.0,115,1955,PG,Emotions are ignited among the complacent townsfolk when a handsome drifter arrives in a small Kansas community on the morning of the Labor Day picnic.,,
0048317,Love Me or Leave Me,7.1,122,1955,Approved,"A fictionalized account of the career of jazz singer Ruth Etting and her tempestuous marriage to gangster Marty Snyder, who helped propel her to stardom.",2760000,193
0048563,The Rose Tattoo,6.9,117,1955,Approved,A Sicilian seamstress who idolizes her husband must deal with several family crises upon his sudden death.,,
0048316,Love Is a Many-Splendored Thing,6.4,102,1955,Approved,A widowed Chinese-English doctor falls in love with a married American correspondent in Hong Kong during China&apos;s Communist Revolution.,1780000,29341
0048191,I&#x27;ll Cry Tomorrow,7.2,117,1955,Approved,"Susan Hayward stars as singer-actress Lillian Roth, whose rise to stardom was nearly destroyed by alcoholism.",2147000,
0048210,Interrupted Melody,6.7,106,1955,Approved,"This movie chronicles Australian-born opera star Marjorie Lawrence&apos;s success, her battle with polio, and her eventual career comeback.",2367000,
0048649,Speedy Gonzales,7.2,7,1955,Approved,Speedy Gonzales comes to the aid of a hungry group of mice trying to get the cheese from a factory guarded by Sylvester.,,
0049000,The Bespoke Overcoat,7.1,37,1955,,"Fender is a lowly clerk in the warehouse of clothing manufacturers Ranting and Co. His one ambition is to have an overcoat of his own. Refused one by the cold hearted Ranting he asks a tailor friend, Morry, to make him one instead...",5000,
0048369,Men Against the Arctic,5.6,30,1955,,Part of Walt Disney&apos;s People and Places series. This is the story of the &quot;Icebreakers&quot; - ships of very special construction that are built to make their way through the heavy Arctic ice packs on a trip to Thule.,,
0048677,Survival City,5.6,20,1955,,"Sinister sequels, eerie indies, and blockbuster boo-fests — here are the most exciting horror movies and shows to add to your Watchlist.",,
0049833,Deset zapovedi,7.9,220,1956,G,"Moses, raised as a prince of Egypt in the Pharaoh&apos;s household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",13282712,65500755
0049261,Velikan,7.6,201,1956,G,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,5400000,32857066
0049470,"Mož, ki je vedel preveč",7.4,120,1956,PG,"An American doctor and his wife, a former singing star, witness a murder while vacationing in Morocco, and are drawn into a twisting plot of international intrigue when their young son is kidnapped.",2500000,10190
0048960,Around the World in Eighty Days,6.7,167,1956,G,A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,6000000,42009549
0049408,The King and I,7.4,133,1956,G,A widow accepts a job as a live-in governess to the King of Siam&apos;s children.,4550000,21321141
0049456,Sla po zivljenju,7.3,122,1956,Approved,The life of brilliant but tortured artist Vincent van Gogh.,3227000,
0049966,Zapisano v vetru,7.3,99,1956,Approved,"Alcoholic playboy Kyle Hadley marries the woman secretly loved by his poor but hard-working best friend, who in turn is pursued by Kyle&apos;s sister.",,14163
0049778,Somebody Up There Likes Me,7.5,113,1956,Approved,"Boxer Rocky Graziano&apos;s biopic, based on his autobiography, from childhood to his World Middleweight Championship title win at age 28 in 1947.",1920000,9528
0048947,Anastasia,7.0,105,1956,Approved,"An opportunistic businessman tries to pass off a mysterious impostor as the Grand Duchess Anastasia, and she is so convincing that even the biggest skeptics believe her.",3520000,
